operation,iteration,latency_ns
sign,0,1583769
sign,1,1629846
sign,2,650462
sign,3,6490000
sign,4,2797231
sign,5,931077
sign,6,2636962
sign,7,823154
sign,8,1940154
sign,9,2373269
sign,10,632731
sign,11,4660654
sign,12,2600807
sign,13,2835308
sign,14,436500
sign,15,578962
sign,16,3874962
sign,17,3179154
sign,18,2132000
sign,19,2103885
sign,20,1265115
sign,21,593116
sign,22,1353231
sign,23,1723769
sign,24,1133730
sign,25,2408423
sign,26,1993384
sign,27,2788577
sign,28,2327808
sign,29,8702731
sign,30,1605231
sign,31,3971885
sign,32,622539
sign,33,1129230
sign,34,2813961
sign,35,1964923
sign,36,2780346
sign,37,790423
sign,38,1617962
sign,39,1139116
sign,40,962577
sign,41,2199192
sign,42,2674577
sign,43,3800154
sign,44,860500
sign,45,649731
sign,46,632730
sign,47,2837923
sign,48,5542192
sign,49,2769769
sign,50,1664116
sign,51,1799307
sign,52,4800808
sign,53,845615
sign,54,1604231
sign,55,637538
sign,56,588461
sign,57,956846
sign,58,2896269
sign,59,1717193
sign,60,1425115
sign,61,3119962
sign,62,1784923
sign,63,434000
sign,64,1977654
sign,65,783115
sign,66,463307
sign,67,2609192
sign,68,1419961
sign,69,604692
sign,70,833961
sign,71,3051500
sign,72,478923
sign,73,2580692
sign,74,630000
sign,75,2006769
sign,76,4942154
sign,77,7053539
sign,78,1791962
sign,79,968038
sign,80,597461
sign,81,1897577
sign,82,933038
sign,83,3037308
sign,84,5332385
sign,85,7055615
sign,86,851769
sign,87,1484039
sign,88,3419269
sign,89,2439115
sign,90,841692
sign,91,1133193
sign,92,608384
sign,93,948231
sign,94,3447846
sign,95,1846577
sign,96,1290269
sign,97,2207269
sign,98,1639231
sign,99,2272693
verify,0,318961
verify,1,312654
verify,2,306807
verify,3,304539
verify,4,305269
verify,5,305116
verify,6,306847
verify,7,307461
verify,8,360615
verify,9,314961
verify,10,309077
verify,11,309654
verify,12,307231
verify,13,308576
verify,14,308846
verify,15,310346
verify,16,309731
verify,17,308808
verify,18,308077
verify,19,308577
verify,20,352923
verify,21,311693
verify,22,306308
verify,23,305577
verify,24,306116
verify,25,305077
verify,26,304653
verify,27,305423
verify,28,304731
verify,29,304846
verify,30,304385
verify,31,304730
verify,32,304308
verify,33,349193
verify,34,307884
verify,35,304692
verify,36,304346
verify,37,305039
verify,38,304692
verify,39,303731
verify,40,304538
verify,41,305884
verify,42,305462
verify,43,306192
verify,44,307038
verify,45,369730
verify,46,319269
verify,47,309385
verify,48,308500
verify,49,309038
verify,50,308962
verify,51,309423
verify,52,308885
verify,53,309308
verify,54,307461
verify,55,307539
verify,56,307230
verify,57,306462
verify,58,349500
verify,59,309923
verify,60,305846
verify,61,305538
verify,62,305193
verify,63,304077
verify,64,304577
verify,65,304500
verify,66,304539
verify,67,304615
verify,68,304539
verify,69,304769
verify,70,304231
verify,71,389846
verify,72,308615
verify,73,305423
verify,74,305115
verify,75,304384
verify,76,306538
verify,77,307616
verify,78,308347
verify,79,308154
verify,80,309385
verify,81,308654
verify,82,307347
verify,83,353731
verify,84,313230
verify,85,308307
verify,86,308769
verify,87,308885
verify,88,308154
verify,89,307961
verify,90,306077
verify,91,306270
verify,92,305885
verify,93,305307
verify,94,304231
verify,95,305193
verify,96,355077
verify,97,306730
verify,98,305538
verify,99,304731
